"body_id","state_id","role_id","body_name","body_abbr","body_short","body_role_abbr","body_role_name"
"1","48","1","House of Delegates","H","House","Del","Delegate"
"2","48","2","Senate","S","Senate","Sen","Senator"
"3","38","1","House of Representatives","H","House","Rep","Representative"
"4","38","2","Senate","S","Senate","Sen","Senator"
"5","35","1","House of Representatives","H","House","Rep","Representative"
"6","35","2","Senate","S","Senate","Sen","Senator"
"7","46","1","House of Delegates","H","House","Del","Delegate"
"8","46","2","Senate","S","Senate","Sen","Senator"
"11","1","1","House of Representatives","H","House","Rep","Representative"
"12","1","2","Senate","S","Senate","Sen","Senator"
"13","2","1","House of Representatives","H","House","Rep","Representative"
"14","2","2","Senate","S","Senate","Sen","Senator"
"15","3","1","House of Representatives","H","House","Rep","Representative"
"16","3","2","Senate","S","Senate","Sen","Senator"
"17","4","1","House of Representatives","H","House","Rep","Representative"
"18","4","2","Senate","S","Senate","Sen","Senator"
"19","5","1","State Assembly","A","Assembly","Asm","Assemblyman"
"20","5","2","Senate","S","Senate","Sen","Senator"
"21","6","1","House of Representatives","H","House","Rep","Representative"
"22","6","2","Senate","S","Senate","Sen","Senator"
"23","7","1","House of Representatives","H","House","Rep","Representative"
"24","7","2","Senate","S","Senate","Sen","Senator"
"25","8","1","House of Representatives","H","House","Rep","Representative"
"26","8","2","Senate","S","Senate","Sen","Senator"
"27","9","1","House of Representatives","H","House","Rep","Representative"
"28","9","2","Senate","S","Senate","Sen","Senator"
"29","10","1","House of Representatives","H","House","Rep","Representative"
"30","10","2","Senate","S","Senate","Sen","Senator"
"31","11","1","House of Representatives","H","House","Rep","Representative"
"32","11","2","Senate","S","Senate","Sen","Senator"
"33","12","1","House of Representatives","H","House","Rep","Representative"
"34","12","2","Senate","S","Senate","Sen","Senator"
"35","13","1","House of Representatives","H","House","Rep","Representative"
"36","13","2","Senate","S","Senate","Sen","Senator"
"37","14","1","House of Representatives","H","House","Rep","Representative"
"38","14","2","Senate","S","Senate","Sen","Senator"
